Baseline 100%T		BaSO4		CuTA no salt		CuTA Zn 10 mM		CuTA Zn 100 mM		CuTA Zn 10 mM2		CuTA Cd 10 mM		CuTA Cd 100 mM		CuTA Cd 100 mM2	
Wavelength (nm)	%R	Wavelength (nm)	%R	Wavelength (nm)	%R	Wavelength (nm)	%R	Wavelength (nm)	%R	Wavelength (nm)	%R	Wavelength (nm)	%R	Wavelength (nm)	%R	Wavelength (nm)	%R
1500	5.255671024	1500	99.97816467	1500	102.6137924	1500	91.37809753	1500	86.16846466	1500	84.08921051	1500	80.32214355	1500	78.4633255	1500	85.05867004
1499	5.253857613	1499	99.92430878	1499	102.5743484	1499	91.32373047	1499	86.18994141	1499	84.11735535	1499	80.34111786	1499	78.44708252	1499	85.07667542
1498	5.25338459	1498	99.87874603	1498	102.5040359	1498	91.32894135	1498	86.16695404	1498	84.11203003	1498	80.32554626	1498	78.45204163	1498	85.1346817
1497	5.248736858	1497	99.90739441	1497	102.5850754	1497	91.24373627	1497	86.10710144	1497	84.02397919	1497	80.30152893	1497	78.3601532	1497	84.99213409
1496	5.246069908	1496	99.88868713	1496	102.5533676	1496	91.25010681	1496	86.07676697	1496	84.02436066	1496	80.33126831	1496	78.32138824	1496	84.99772644
1495	5.244711399	1495	99.91545105	1495	102.4903564	1495	91.21615601	1495	86.03798676	1495	84.02396393	1495	80.28517151	1495	78.30229187	1495	84.9598465
1494	5.242236137	1494	99.95685577	1494	102.5154114	1494	91.20874786	1494	86.04460907	1494	83.99619293	1494	80.25691986	1494	78.28723907	1494	84.94998169
1493	5.242260933	1493	99.92767334	1493	102.5387192	1493	91.15155792	1493	86.03617096	1493	83.98931885	1493	80.27649689	1493	78.274086	1493	84.96392059
1492	5.237952232	1492	99.97129059	1492	102.4957657	1492	91.25367737	1492	86.02326965	1492	83.96224213	1492	80.32459259	1492	78.2669754	1492	84.97053528
1491	5.235658169	1491	99.93587494	1491	102.4660568	1491	91.17456055	1491	85.98822021	1491	83.94274902	1491	80.31038666	1491	78.23735809	1491	84.99851227
1490	5.234788895	1490	100.0034943	1490	102.4569855	1490	91.12452698	1490	85.9790802	1490	83.98953247	1490	80.2614212	1490	78.1787262	1490	84.94814301
1489	5.233385563	1489	99.98859406	1489	102.4574432	1489	91.08921051	1489	85.92630005	1489	83.88978577	1489	80.24511719	1489	78.19474792	1489	84.90375519
1488	5.232355595	1488	99.92919922	1488	102.4165649	1488	91.03540039	1488	85.92030334	1488	83.85575867	1488	80.19009399	1488	78.08439636	1488	84.77664185
1487	5.22932291	1487	99.85164642	1487	102.4305801	1487	91.04917908	1487	85.9066925	1487	83.8489151	1487	80.19815063	1487	78.07189178	1487	84.77153015
1486	5.226090908	1486	99.90420532	1486	102.4045792	1486	91.05001831	1486	85.8837204	1486	83.82000732	1486	80.18772888	1486	77.99085236	1486	84.81386566
1485	5.221090317	1485	100.013855	1485	102.4210968	1485	91.0219574	1485	85.83000183	1485	83.86502075	1485	80.22653198	1485	78.00245667	1485	84.7542572
1484	5.223704338	1484	99.93302917	1484	102.3465271	1484	90.97277069	1484	85.84661102	1484	83.7869873	1484	80.1452179	1484	77.97757721	1484	84.77022552
1483	5.224925041	1483	99.93756866	1483	102.3556824	1483	90.92184448	1483	85.78184509	1483	83.77044678	1483	80.15102386	1483	77.93994141	1483	84.74940491
1482	5.21843338	1482	99.96192169	1482	102.3999481	1482	90.9173584	1482	85.79084015	1482	83.74006653	1482	80.17224121	1482	77.92022705	1482	84.73035431
1481	5.214160442	1481	99.92884827	1481	102.3502731	1481	90.9233551	1481	85.82286072	1481	83.78452301	1481	80.19119263	1481	77.90789032	1481	84.72236633
1480	5.211636066	1480	99.89154053	1480	102.2953186	1480	90.87207031	1480	85.73897552	1480	83.72664642	1480	80.1531601	1480	77.85468292	1480	84.66608429
1479	5.215643406	1479	99.91712189	1479	102.2284851	1479	90.83113861	1479	85.65009308	1479	83.68419647	1479	80.07839966	1479	77.8052597	1479	84.62394714
1478	5.212275982	1478	99.82064056	1478	102.2477493	1478	90.84179688	1478	85.69791412	1478	83.63076782	1478	80.17288971	1478	77.79841614	1478	84.59261322
1477	5.208007336	1477	99.91546631	1477	102.1528091	1477	90.80299377	1477	85.67059326	1477	83.62632751	1477	80.16958618	1477	77.73849487	1477	84.56555939
1476	5.207417965	1476	99.9675293	1476	102.2228394	1476	90.76587677	1476	85.66645813	1476	83.63605499	1476	80.1500473	1476	77.71915436	1476	84.58738708
1475	5.2096591	1475	99.91524506	1475	102.2041931	1475	90.73429108	1475	85.66242218	1475	83.61109924	1475	80.1255188	1475	77.74731445	1475	84.60559845
1474	5.210758209	1474	99.89455414	1474	102.1480789	1474	90.72516632	1474	85.60024261	1474	83.56204987	1474	80.09140778	1474	77.68519592	1474	84.53899384
1473	5.199463367	1473	99.98628998	1473	102.2456741	1473	90.67828369	1473	85.59465027	1473	83.54530334	1473	80.05478668	1473	77.60451508	1473	84.48631287
1472	5.194117069	1472	99.92834473	1472	102.1931076	1472	90.65709686	1472	85.57730865	1472	83.54729462	1472	80.05831146	1472	77.55934906	1472	84.44509125
1471	5.188363552	1471	99.9564743	1471	102.2184753	1471	90.57686615	1471	85.50203705	1471	83.50963593	1471	80.03704834	1471	77.51131439	1471	84.41611481
1470	5.189986706	1470	99.93968964	1470	102.1168823	1470	90.59976959	1470	85.52291107	1470	83.52727509	1470	80.04615021	1470	77.48523712	1470	84.44727325
1469	5.195521355	1469	99.94747162	1469	102.0792465	1469	90.59248352	1469	85.45899963	1469	83.5052948	1469	80.10493469	1469	77.52283478	1469	84.42021942
1468	5.197357178	1468	99.96017456	1468	102.109436	1468	90.49299622	1468	85.49173737	1468	83.4030838	1468	80.03650665	1468	77.41488647	1468	84.33856201
1467	5.19136858	1467	99.95519257	1467	102.0881424	1467	90.54814148	1467	85.48357391	1467	83.46504211	1467	80.01314545	1467	77.34992218	1467	84.34302521
1466	5.18917942	1466	99.93050385	1466	102.0449753	1466	90.43821716	1466	85.43149567	1466	83.35834503	1466	79.99056244	1466	77.3421936	1466	84.29629517
